qué	k e+
comisaría	k o m i s a rf i+ a
hubiera	u b j e rf a
rechazado	r e tS a s a D o
llevó	L e b o+
activado	a k t i b a o
reproducción	r e p rf o D u s j o+ n
orden	o rf D e ng
alea	a l e a
torio	t o rf j o
número	n u+ m e rf o
teléfono	t e l e+ f o n o
fc	e f e s e
ponga	p o ng g a
canciones	k a n T j o n e s
alegre	a l e G rf e
descubra	d e s k u b rf a
ater	a t e rf
enviaré	e m V j a rf e+
telegrama	t e l e G rf a m a
invitado	i m V i t a o
estrope	e s t rf o p e
ará	a rf a+
encuentran	e ng k w e n t rf a ng
lleguen	L e g e ng
apenas	a p e n a s
sole	s o l e
increíble	i ng k rf e i+ b l e
oculta	o k u l t a
detrás	d e t rf a+ s
dó	d o+
ciles	T i l e s
palabras	p a l a b rf a s
filósofo	f i l o+ s o f o
insul	i ng s u l
to	t o
nuestra	n w e s t rf a
inteligencia	i n t e l i x e n T j a
escuchar	e s k u tS a rf
argumentos	a rf G u m e n t o s
infantiles	i n f a n t i l e s
franquicia	f rf a ng k i s j a
extranjeros	e k s t rf a ng x e rf o s
llamó	L a m o+
volvería	b o l b e rf i+ a
queda	k e D a
mantenimiento	m a n t e n i m j e n t o
pendiente	p e n d j e n t e
porta	p o rf t a
comprar	k o m p rf a rf
entiende	e n t j e n d e
llegara	L e G a rf a
saber	s a b e rf
ocur	o k u rf
homicidio	o m i T i D j o
cometió	k o m e t j o+
justificado	x u s t i f i k a o
cin	s i ng
ciento	s j e n t o
jubi	x u b i
lados	l a D o s
pens	p e ng s
ion	j o ng
istas	i s t a s
desempleados	d e s e m p l e a D o s
discapacitados	d i s k a p a T i t a D o s
psíqu	s i+ k
icos	i k o s
físicos	f i+ s i k o s
desemp	d e s e m p
ñado	n~ a o
últimamente	u+ l t i m a m e n t e
conciertos	k o ng s j e rf t o s
l	l
pega	p e G a
pill	p i L
disparó	d i s p a rf o+
revés	r e b e+ s
cli	k l i
ma	m a
envidia	e ng V i D j a
ble	b l e
apetece	a p e t e s e
bañ	b a n~
arse	a rf s e
dijeron	d i x e rf o ng
cuál	k w a+ l
elige	e l i x e
algunos	a l G u n o s
ejemplares	e x e m p l a rf e s
realmente	r e a l m e n t e
increíbles	i ng k rf e i+ b l e s
joven	x o b e ng
anda	a n d a
ba	b a
caza	k a s a
salta	s a l t a
mont	m o n t
relaciones	r e l a T j o n e s
asfi	a s f i
xia	s j a
tes	t e s
siguiendo	s i g j e n d o
escuché	e s k u tS e+
molesta	m o l e s t a
envían	e ng V i+ a ng
gri	G rf i
repente	r e p e n t e
cuarto	k w a rf t o
baño	b a n~ o
haré	a rf e+
otra	o t rf a
resultado	r e s u l t a o
talla	t a L a
pantalón	p a n t a l o+ ng
cayó	k a L o+
acantil	a k a n t i l
bosque	b o s k e
ox	o k s
head	e a
lunes	l u n e s
depósito	d e p o+ s i t o
consegui	k o ng s e g i
congel	k o n x e l
reconocen	r e k o n o s e ng
ejecutivo	e x e k u t i b o
coalición	k o a l i T j o+ n
transmitido	t rf a ng z m i t i D o
longitud	l o n x i t u
prórroga	p rf o+ r o G a
camino	k a m i n o
atracciones	a t rf a k s j o n e s
perder	p e rf D e rf
cierre	s j e r e
ramón	r a m o+ ng
desea	d e s e a
corta	k o rf t a
traves	t rf a b e s
sabes	s a b e s
tomé	t o m e+
eres	e rf e s
apuesto	a p w e s t o
estaría	e s t a rf i+ a
orgullosa	o rf G u L o s a
deseo	d e s e o
realidad	r e a l i D a
sentí	s e n t i+
deseos	d e s e o s
salir	s a l i rf
corriendo	k o r j e n d o
intentaba	i n t e n t a b a
segunda	s e G u n d a
fase	f a s e
previsión	p rf e b i s j o+ ng
pasen	p a s e ng
estas	e s t a s
bajar	b a x a rf
suspen	s u s p e ng
den	d e ng
actividades	a k t i b i D a D e s
sigue	s i g e
pagando	p a G a n d o
sueldo	s w e l d o
autorizado	aU t o rf i s a D o
usuarios	u s w a rf j o s
entras	e n t rf a s
sumer	s u m e rf
gido	x i D o
cuento	k w e n t o
hadas	a D a s
ocupo	o k u p o
accidentes	a k s i D e n t e s
sesión	s e s j o+ ng
económica	e k o n o+ m i k a
nocturna	n o k t u rf n a
recuerda	r e k w e rf D a
conocimos	k o n o s i m o s
salí	s a l i+
cárcel	k a+ rf s e l
caracteres	k a rf a k t e rf e s
totalmente	t o t a l m e n t e
agradables	a G rf a D a b l e s
matan	m a t a ng
cuadros	k w a D rf o s
diré	d i rf e+
conocidos	k o n o s i D o s
bonitos	b o n i t o s
fecha	f e tS a
seleccion	s e l e k s j o ng
rango	r a ng g o
sombra	s o m b rf a
autora	aU t o rf a
línea	l i+ n e a
maquillaje	m a k i L a x e
gustan	G u s t a ng
pertenecen	p e rf t e n e s e ng
sociedades	s o s j e D a D e s
patri	p a t rf i
otas	o t a s
búl	b u+ l
gara	G a rf a
debe	d e b e
familiari	f a m i l j a rf i
zarse	s a rf s e
pronunci	p rf o n u n T i
ación	a s j o+ ng
artículos	a rf t i+ k u l o s
tocado	t o k a D o
iba	i b a
actores	a k t o rf e s
ellos	e L o s
cazador	k a s a D o rf
edificio	e D i f i T j o
hacerlo	a s e rf l o
disco	d i s k o
teca	t e k a
iniciar	i n i s j a rf
haberse	a b e rf s e
impulsado	i m p u l s a o
tele	t e l e
traba	t rf a b a
reducciones	r e D u k s j o n e s
jornada	x o rf n a D a
pocas	p o k a s
ocasión	o k a s j o+ ng
decidir	d e T i D i rf
quieres	k j e rf e s
diga	d i G a
ah	a
encantó	e ng k a n t o+
metría	m e t rf i+ a
estructura	e s t rf u k t u rf a
asegurado	a s e G u rf a D o
producido	p rf o D u s i D o
incrementos	i n k rf e m e n t o s
precios	p rf e T j o s
búsqueda	b u+ s k e D a
inci	i n T i
erta	e rf t a
chu	tS u
originales	o rf i x i n a l e s
bastante	b a s t a n t e
cari	k a rf i
tengo	t e ng g o
hija	i x a
pequeña	p e k e n~ a
acabe	a k a b e
clase	k l a s e
correr	k o r e rf
ás	a+ s
temo	t e m o
tuve	t u b e
presentimiento	p rf e s e n t i m j e n t o
pin	p i n
char	tS a rf
mejorando	m e x o rf a n d o
apareció	a p a rf e s j o+
vídeos	b i+ D e o s
relacionados	r e l a s j o n a D o s
admitido	a D m i t i D o
recomiendo	r e k o m j e n d o
unió	u n j o+
clubes	k l u b e s
pudo	p u D o
tren	t rf e ng
avanza	a b a n T a
lentamente	l e n t a m e n t e
fijado	f i x a D o
qui	k i
té	t e+
gab	G a b
án	a+ ng
suele	s w e l e
albergar	a l b e rf G a rf
moderno	m o D e rf n o
alo	a l o
moderna	m o D e rf n a
incluye	i n k l u j e
guer	g e rf
nica	n i k a
será	s e rf a+
símbolo	s i+ m b o l o
cre	k rf e
cieron	s j e rf o ng
comparación	k o m p a rf a T j o+ n
promedio	p rf o m e D j o
ocho	o tS o
primeras	p rf i m e rf a s
semanas	s e m a n a s
anta	a n t a
definitiva	d e f i n i t i b a
enció	e ng s j o+
idioma	i D j o m a
extraordinario	e k s t rf a o rf D i n a rf j o
casualidad	k a s w a l i D a
naturales	n a t u rf a l e s
cuidado	k w i D a D o
vas	b a s
admi	a D m i
ro	r o
coraje	k o rf a x e
ocurrido	o k u r i D o
logran	l o G rf a ng
venga	b e ng g a
enferma	e ng f e rf m a
salga	s a l G a
esposo	e s p o s o
inmediatamente	i ng m e D j a t a m e n t e
ceremonia	T e rf e m o n j a
huir	w i rf
continuar	k o n t i n w a rf
pensó	p e ng s o+
podrían	p o D rf i+ a ng
sufrir	s u f rf i rf
herida	e rf i D a
muchachos	m u tS a tS o s
agotado	a G o t a D o
bicicleta	b i s i k l e t a
partes	p a rf t e s
importe	i m p o rf t e
dido	d i D o
urgente	u rf x e n t e
imprescindible	i m p rf e s i n d i b l e
comete	k o m e t e
muchas	m u tS a s
injusticia	i n x u s t i T j a
busca	b u s k a
ruina	r w i n a
cancelar	k a n T e l a rf
adía	a D i+ a
comparar	k o m p a rf a rf
encantada	e ng k a n t a D a
conocerle	k o n o s e rf l e
pesar	p e s a rf
maestra	m a e s t rf a
arquitectura	a rf k i t e k t u rf a
belleza	b e L e T a
acuerda	a k w e rf D a
propi	p rf o p i
taxi	t a s i
sta	s t a
recurrir	r e k u r i rf
dificultades	d i f i k u l t a D e s
llo	L o
viendo	b j e n d o
subida	s u b i D a
subir	s u b i rf
reciclaje	r e s i k l a x e
energías	e n e rf x i+ a s
pasaba	p a s a b a
meterme	m e t e rf m e
puso	p u s o
zan	s a ng
cad	k a
illa	i L a
escritura	e s k rf i t u rf a
periodo	p e rf j o D o
remoto	r e m o t o
ejemplo	e x e m p l o
pretender	p rf e t e n d e rf
concer	k o n T e rf
tarlo	t a rf l o
tri	t rf i
tito	t i t o
luego	l w e G o
llevarla	L e b a rf l a
congreso	k o ng g rf e s o
dejaste	d e x a s t e
abandono	a b a n d o n o
colgado	k o l G a o
enseñanza	e n s e n~ a n T a
pion	p j o n
avanzados	a b a n s a D o s
pade	p a D e
ciendo	T j e n d o
aprecia	a p rf e s j a
desac	d e s a k
ele	e l e
ración	r a s j o+ ng
crecimiento	k rf e s i m j e n t o
producciones	p rf o D u s j o n e s
atracción	a t rf a k s j o+ ng
deca	d e k a
dente	d e n t e
encanto	e ng k a n t o
ten	t e n
acidad	a s i D a
excelente	e s T e l e n t e
intui	i n t w i
ción	s j o+ ng
permitirán	p e rf m i t i rf a+ ng
sobresali	s o b rf e s a l i
joyas	x o L a s
investigar	i ng V e s t i G a rf
escribir	e s k rf i b i rf
libro	l i b rf o
quedaría	k e D a rf i+ a
corto	k o rf t o
visto	b i s t o
arriba	a r i b a
quedarse	k e D a rf s e
cenar	T e n a rf
servir	s e rf b i rf
copa	k o p a
extrañar	e k s t rf a n~ a rf
encontrar	e ng k o n t rf a rf
buque	b u k e
bolsillo	b o l s i L o
alusión	a l u s j o+ ng
cifras	T i f rf a s
ocupación	o k u p a s j o+ ng
hotel	o t e l
empezar	e m p e T a rf
estudiando	e s t u D j a n d o
rasgos	r a z G o s
facial	f a s j a l
suyos	s u L o s
complicado	k o m p l i k a D o
cámaras	k a+ m a rf a s
planos	p l a n o s
parecer	p a rf e T e rf
agujero	a G u x e rf o
pom	p o m
puerta	p w e rf t a
cuántas	k w a+ n t a s
tuvimos	t u b i m o s
enamor	e n a m o rf
ar	a rf
máquina	m a+ k i n a
café	k a f e+
caída	k a i+ D a
autónomos	aU t o+ n o m o s
colaboradores	k o l a b o rf a D o rf e s
festivo	f e s t i b o
trabaja	t rf a b a x a
preguntaba	p rf e G u n t a b a
baños	b a n~ o s
públicos	p u+ b l i k o s
cafetería	k a f e t e rf i+ a
tardes	t a rf D e s
señor	s e n~ o rf
esenciales	e s e ng s j a l e s
estaban	e s t a b a ng
excluidos	e k s k l w i D o s
decreto	d e k rf e t o
alarma	a l a rf m a
quedan	k e D a ng
margen	m a rf x e ng
medida	m e D i D a
sacaré	s a k a rf e+
veinte	b eI n t e
francos	f rf a ng k o s
quisiera	k i s j e rf a
señorita	s e n~ o rf i t a
trata	t rf a t a
fallo	f a L o
nivel	n i b e l
mundial	m u n d j a l
condición	k o n d i s j o+ ng
ológica	o l o+ x i k a
inestable	i n e s t a b l e
producirse	p rf o D u s i rf s e
parciales	p a rf T j a l e s
periódico	p e rf j o+ D i k o
ofreció	o f rf e T j o+
respuestas	r e s p w e s t a s
debía	d e b i+ a
averiguar	a b e rf i G w a rf
concluyó	k o ng k l u L o+
pe	p e
viernes	b j e rf n e s
poli	p o l i
llas	L a s
destrozado	d e s t rf o s a D o
pantalones	p a n t a l o n e s
raya	r aI a
papá	p a p a+
ame	a m e
claramente	k l a rf a m e n t e
negocio	n e G o T j o
montado	m o n t a D o
cumpleaños	k u m p l e a n~ o s
preferencia	p rf e f e rf e ng s j a
desc	d e s k
ort	o rf t
és	e+ s
cita	s i t a
teniente	t e n j e n t e
carga	k a rf G a
departamento	d e p a rf t a m e n t o
verdad	b e rf D a
viene	b j e n e
entera	e n t e rf a
disposición	d i s p o s i T j o+ n
fil	f i l
trado	t rf a o
películas	p e l i+ k u l a s
reservar	r e s e rf b a rf
manual	m a n w a l
sacar	s a k a rf
notas	n o t a s
estudiar	e s t u D j a rf
rin	r i ng
cito	s i t o
caprich	k a p rf i tS
hermos	e rf m o s
alegría	a l e G rf i+ a
clásico	k l a+ s i k o
roc	r o k
cantantes	k a n t a n t e s
coro	k o rf o
maravilloso	m a rf a b i L o s o
enormes	e n o rf m e s
man	m a ng
anti	a n t i
ales	a l e s
ofrecen	o f rf e s e ng
sencillas	s e ng s i L a s
admira	a D m i rf a
bles	b l e s
quiso	k i s o
experimentación	e s p e rf i m e n t a s j o+ ng
blo	b l o
c	s e
cha	tS a
in	i ng
financieros	f i n a n T j e rf o s
llevado	L e b a D o
desarrollo	d e s a r o L o
cri	k rf i
pto	p t o
mon	m o ng
edas	e D a s
añadido	a n~ a D i D o
record	r e k o rf
atori	a t o rf i
conviene	k o m V j e n e
entradas	e n t rf a D a s
anticipado	a n t i s i p a D o
reducirá	r e D u T i rf a+
mínimas	m i+ n i m a s
máxima	m a+ k s i m a
expresión	e k s p rf e s j o+ ng
tenerlo	t e n e rf l o
dejarlo	d e x a rf l o
tranquilo	t rf a n k i l o
sacarle	s a k a rf l e
presiones	p rf e s j o n e s
sentir	s e n t i rf
unas	u n a s
fotos	f o t o s
contactos	k o n t a k t o s
similares	s i m i l a rf e s
seleccionar	s e l e s j o n a rf
sup	s u p
ón	o+ ng
terminamos	t e rf m i n a m o s
exhi	e s i
ben	b e ng
siguientes	s i g j e n t e s
ye	L e
avanzando	a b a n T a n d o
detenga	d e t e n g a
aquella	a k e L a
esquina	e s k i n a
costumbre	k o s t u m b rf e
tomar	t o m a rf
pelo	p e l o
semana	s e m a n a
estarás	e s t a rf a+ s
red	r e
desconec	d e s k o n e k
tada	t a D a
conectar	k o n e k t a rf
compar	k o m p a rf
coral	k o rf a l
orf	o rf f
eo	e o
nes	n e s
cientos	T j e n t o s
muestras	m w e s t rf a s
suelen	s w e l e ng
relevancia	r e l e b a n T j a
recibirá	r e s i b i rf a+
demás	d e m a+ s
cierto	s j e rf t o
dele	d e l e
ita	i t a
ju	x u
elas	e l a s
color	k o l o rf
idas	i D a s
restaurantes	r e s t aU rf a n t e s
ld	l
escritor	e s k rf i t o rf
inser	i ng s e rf
gar	G a rf
cero	s e rf o
madri	m a D rf i
leños	l e n~ o s
debemos	d e b e m o s
orgullosos	o rf G u L o s o s
imbécil	i m b e+ s i l
pelotón	p e l o t o+ ng
tenéis	t e n e+ i s
felicitar	f e l i s i t a rf
alguien	a l g j e ng
felici	f e l i T i
tad	t a
cargado	k a rf G a D o
batería	b a t e rf i+ a
ata	a t a
decer	d e s e rf
amanecer	a m a n e T e rf
concur	k o n k u rf
rido	r i D o
llegaron	L e G a rf o ng
diciendo	d i s j e n d o
pino	p i n o
cho	tS o
curioso	k u rf j o s o
conocen	k o n o s e ng
cenizas	s e n i s a s
chaleco	tS a l e k o
tenías	t e n i+ a s
corazón	k o rf a T o+ n
inmenso	i n m e n s o
inmediato	i ng m e D j a t o
echó	e tS o+
suelo	s w e l o
fin	f i ng
gió	x j o+
muerto	m w e rf t o
estru	e s t rf u
jar	x a rf
accesible	a k s e s i b l e
directo	d i rf e k t o
empleados	e m p l e a D o s
estará	e s t a rf a+
responsabilidad	r e s p o ng s a b i l i D a
bn	b e e n e
aparte	a p a rf t e
tienda	t j e n d a
regalos	r e G a l o s
muertos	m w e rf t o s
centen	T e n t e n
charla	tS a rf l a
alar	a l a rf
garon	G a rf o ng
madrugada	m a D rf u G a D a
hacía	a s i+ a
reír	r e i+ rf
apre	a p rf e
ciado	T j a o
cliente	k l j e n t e
gracias	G rf a T j a s
enviar	e m V j a rf
comentario	k o m e n t a rf j o
valoración	b a l o rf a T j o+ n
cerradas	s e r a D a s
nació	n a T j o+
sudáfrica	s u D a+ f rf i k a
septiembre	s e p t j e m b rf e
quítate	k i+ t a t e
ropa	r o p a
ducha	d u tS a
caliente	k a l j e n t e
fueras	f w e rf a s
multi	m u l t i
mill	m i l
onario	o n a rf j o
soportar	s o p o rf t a rf
minuto	m i n u t o
hermano	e rf m a n o
llevar	L e b a rf
parte	p a rf t e
ampli	a m p l i
permite	p e rf m i t e
metas	m e t a s
alcanza	a l k a n T a
silencio	s i l e n T j o
refleja	r e f l e x a
ausencia	aU s e n T j a
sonido	s o n i D o
apur	a p u rf
mercancía	m e rf k a ng s i+ a
seguida	s e g i D a
recomendación	r e k o m e n d a T j o+ n
escuche	e s k u tS e
próxima	p rf o+ k s i m a
usaba	u s a b a
último	u+ l t i m o
bis	b i s
apunta	a p u n t a
desb	d e z b
ord	o rf
previsiones	p rf e b i s j o n e s
afrontar	a f rf o n t a rf
difíciles	d i f i+ s i l e s
efe	e f e
alcantari	a l k a n t a rf i
iza	i s a
llegando	L e G a n d o
distrito	d i s t rf i t o
rato	r a t o
pareces	p a rf e T e s
rincón	r i ng k o+ ng
árabe	a+ rf a b e
puente	p w e n t e
cillo	T i L o
eci	e T i
ano	a n o
cab	k a b
ildo	i l d o
publicidad	p u b l i T i D a
cilindros	T i l i n d rf o s
muestra	m w e s t rf a
recorrido	r e k o r i D o
extensa	e s t e n s a
cuentos	k w e n t o s
ensayos	e ng s a L o s
novelas	n o b e l a s
probado	p rf o b a D o
generoso	x e n e rf o s o
traicionado	t rf aI T j o n a o
quieren	k j e rf e ng
deshacer	d e s a T e rf
acumula	a k u m u l a
peticiones	p e t i T j o n e s
ruego	r w e G o
asociación	a s o T j a T j o+ n
mayor	m a L o rf
itaria	i t a rf j a
at	a t
sentido	s e n t i D o
engañar	e n g a n~ a rf
plante	p l a n t e
seriamente	s e rf j a m e n t e
disfrutando	d i s f rf u t a n d o
libra	l i b rf a
gia	x j a
crecer	k rf e T e rf
paz	p a T
ingres	i ng g rf e s
empezó	e m p e T o+
boxe	b o s e
continu	k o n t i n u
amente	a m e n t e
asequi	a s e k i
verlas	b e rf l a s
sobra	s o b rf a
guapo	G w a p o
programas	p rf o G rf a m a s
artistas	a rf t i s t a s
trabajador	t rf a b a x a D o rf
perderá	p e rf D e rf a+
derecho	d e rf e tS o
prestación	p rf e s t a T j o+ n
desempleo	d e s e m p l e o
am	a m
encima	e ng s i m a
acce	a s e
préstamos	p rf e+ s t a m o s
venta	b e n t a
josa	x o s a
destaca	d e s t a k a
colección	k o l e k s j o+ ng
magnífico	m a G n i+ f i k o
bar	b a rf
gue	g e
ños	n~ o s
conocido	k o n o s i D o
lleno	L e n o
volumen	b o l u m e ng
advertencia	a D b e rf t e n T j a
alcalde	a l k a l d e
párr	p a+ r
responsables	r e s p o ng s a b l e s
cár	k a+ rf
itas	i t a s
asociaciones	a s o T j a T j o n e s
voluntarios	b o l u n t a rf j o s
encontrará	e ng k o n t rf a rf a+
antiguos	a n t i G w o s
artesanía	a rf t e s a n i+ a
auténtica	aU t e+ n t i k a
pasado	p a s a D o
propio	p rf o p j o
azul	a T u l
ejo	e x o
conmemora	k o ng m e m o rf a
tivos	t i b o s
distintas	d i s t i n t a s
provincias	p rf o b i n T j a s
españolas	e s p a n~ o l a s
í	i+
bamos	b a m o s
fábrica	f a+ b rf i k a
costará	k o s t a rf a+
entrar	e n t rf a rf
destacar	d e s t a k a rf
dirigidas	d i rf i x i D a s
realiza	r e a l i s a
permi	p e rf m i
llame	L a m e
atención	a t e n T j o+ n
tex	t e k s
tura	t u rf a
soy	s oI
podido	p o D i D o
tomado	t o m a D o
palabra	p a l a b rf a
preguntar	p rf e G u n t a rf
respecto	r e s p e k t o
arquitectón	a rf k i t e k t o+ ng
icamente	i k a m e n t e
interesante	i n t e rf e s a n t e
amas	a m a s
muere	m w e rf e
sancion	s a n T j o n
em	e m
encu	e n k u
bierta	b j e rf t a
bodega	b o D e G a
limpiar	l i m p j a rf
detes	d e t e s
vuelo	b w e l o
oí	o i+
consistente	k o n s i s t e n t e
sacu	s a k u
ruido	r w i D o
pese	p e s e
transcurrido	t rf a n s k u r i D o
importante	i m p o rf t a n t e
haberlo	a b e rf l o
datos	d a t o s
borra	b o r a
éramos	e+ rf a m o s
serios	s e rf j o s
centrado	T e n t rf a o
sugerencia	s u x e rf e ng s j a
cotidi	k o t i D i
importancia	i m p o rf t a n T j a
espera	e s p e rf a
aviso	a b i s o
verte	b e rf t e
bailar	b aI l a rf
conmigo	k o ng m i G o
figuras	f i G u rf a s
parecen	p a rf e T e n
reales	r e a l e s
poema	p o e m a
grito	G rf i t o
tem	t e m
estación	e s t a T j o+ n
agradable	a G rf a D a b l e
alrededor	a l r e D e D o rf
mentiras	m e n t i rf a s
trama	t rf a m a
continuación	k o n t i n w a T j o+ n
intentar	i n t e n t a rf
ofrecerle	o f rf e s e rf l e
útiles	u+ t i l e s
aspectos	a s p e k t o s
traslada	t rf a z l a D a
quedamos	k e D a m o s
hola	o l a
alegro	a l e G rf o
veros	b e rf o s
reun	r eU n
despedir	d e s p e D i rf
ocupada	o k u p a D a
escuela	e s k w e l a
imagen	i m a x e ng
adolescente	a D o l e s T e n t e
afici	a f i T i
lectura	l e k t u rf a
tizado	t i T a o
cobrar	k o b rf a rf
placa	p l a k a
cen	T e n
ra	r a
igualmente	i G w a l m e n t e
ista	i s t a
humill	u m i l
ante	a n t e
fiebre	f j e b rf e
curar	k u rf a rf
igual	i G w a l
empeor	e m p e o rf
supongo	s u p o n g o
sólo	s o+ l o
pensando	p e ng s a n d o
arregl	a r e G l
cubierto	k u b j e rf t o
apreciar	a p rf e s j a rf
mismas	m i z m a s
llamé	L a m e+
foto	f o t o
autorizada	aU t o rf i s a D a
op	o p
u	u
serán	s e rf a+ ng
accionistas	a s j o n i s t a s
be	b e
instancia	i n s t a n T j a
decidirá	d e T i D i rf a+
venden	b e n d e ng
acciones	a k s j o n e s
ofrecido	o f rf e s i D o
pl	p l
ini	i n i
siga	s i G a
consejo	k o ng s e x o
músico	m u+ s i k o
familia	f a m i l j a
viaja	b j a x a
avión	a b j o+ ng
señal	s e n~ a l
izado	i T a o
gustaría	G u s t a rf i+ a
quedarme	k e D a rf m e
vay	b aI
áis	a+ i s
vosotros	b o s o t rf o s
colecciones	k o l e k s j o n e s
agrado	a G rf a D o
clásicos	k l a+ s i k o s
tradicionales	t rf a D i T j o n a l e s
pase	p a s e
profesor	p rf o f e s o rf
pasas	p a s a s
deprisa	d e p rf i s a
hagas	a G a s
puedas	p w e D a s
arrepent	a r e p e n t
colegios	k o l e x j o s
can	k a ng
cel	s e l
aré	a rf e+
acción	a k s j o+ ng
tanques	t a n k e s
camiones	k a m j o n e s
empu	e m p u
jado	x a o
desierto	d e s j e rf t o
pesadillas	p e s a D i L a s
demasiado	d e m a s j a D o
siente	s j e n t e
firmemente	f i rf m e m e n t e
justicia	x u s t i T j a
encargar	e ng k a rf G a rf
cumpla	k u m p l a
vedo	b e D o
monumento	m o n u m e n t o
homenaje	o m e n a x e
caído	k a i+ D o
defensa	d e f e n s a
patria	p a t rf j a
española	e s p a n~ o l a
verano	b e rf a n o
dio	d j o
receta	r e T e t a
entró	e n t rf o+
medicina	m e D i s i n a
sentarse	s e n t a rf s e
vacaciones	b a k a T j o n e s
bas	b a s
ílica	i+ l i k a
cuidad	k w i D a
conserva	k o ng s e rf b a
guero	g e rf o
ampliado	a m p l j a o
conocer	k o n o s e rf
montón	m o n t o+ ng
vender	b e n d e rf
familias	f a m i l j a s
taban	t a b a ng
detectar	d e t e k t a rf
síntomas	s i+ n t o m a s
cáncer	k a+ n T e rf
chaval	tS a b a l
pequeño	p e k e n~ o
fría	f rf i+ a
freno	f rf e n o
inicial	i n i s j a l
compra	k o m p rf a
personales	p e rf s o n a l e s
habrá	a b rf a+
vencido	b e ng s i D o
llé	L e+
nal	n a l
cigarrillos	T i G a r i L o s
trofeo	t rf o f e o
poderoso	p o D e rf o s o
peligroso	p e l i G rf o s o
vigila	b i x i l a
ventana	b e n t a n a
pocos	p o k o s
minutos	m i n u t o s
haya	a L a
olvidado	o l b i D a o
digas	d i G a s
piensas	p j e ng s a s
mamá	m a m a+
obstáculo	o s t a+ k u l o
entrevist	e n t rf e b i s t
poderosos	p o D e rf o s o s
empresarios	e m p rf e s a rf j o s
prohibir	p rf o i b i rf
dentro	d e n t rf o
coinciden	k oI ng s i D e ng
inter	i n t e rf
fi	f i
ero	e rf o
míos	m i+ o s
vayas	b a L a s
audio	aU D j o
gu	G u
sencillo	s e n T i L o
exposición	e s p o s i T j o+ n
larga	l a rf G a
pregunto	p rf e G u n t o
levantarse	l e b a n t a rf s e
famoso	f a m o s o
parecida	p a rf e T i D a
seis	s eI s
estudiantes	e s t u D j a n t e s
acogió	a k o x j o+
aula	aU l a
temprano	t e m p rf a n o
mediodía	m e D j o D i+ a
bolso	b o l s o
ola	o l a
frío	f rf i+ o
publicación	p u b l i k a T j o+ n
ramos	r a m o s
mer	m e rf
za	s a
echar	e tS a rf
sar	s a rf
tén	t e+ ng
ol	o l
podr	p o D rf
tengan	t e ng g a ng
policías	p o l i T i+ a s
tendremos	t e n d rf e m o s
contar	k o n t a rf
narices	n a rf i s e s
inde	i n d e
fen	f e n
sa	s a
desar	d e s a rf
mada	m a D a
población	p o b l a s j o+ ng
hu	u
monstruo	m o ng s t rf w o
destruc	d e s t rf u k
tor	t o rf
esperaba	e s p e rf a b a
acontecimientos	a k o n t e T i m j e n t o s
precipit	p rf e s i p i t
aron	a rf o ng
enviaron	e ng V j a rf o ng
capit	k a p i t
ane	a n e
miembro	m j e m b rf o
insec	i ng s e k
tic	t i k
afectan	a f e k t a ng
humanos	u m a n o s
respuesta	r e s p w e s t a
oración	o rf a T j o+ n
mandado	m a n d a o
protocolo	p rf o t o k o l o
recoge	r e k o x e
ambas	a m b a s
promover	p rf o m o b e rf
particularmente	p a rf t i k u l a rf m e n t e
compon	k o m p o ng
iendo	j e n d o
pul	p u l
revisando	r e b i s a n d o
texto	t e k s t o
consigo	k o ng s i G o
colec	k o l e k
trenes	t rf e n e s
vago	b a G o
locomo	l o k o m o
toras	t o rf a s
épocas	e+ p o k a s
explicaciones	e s p l i k a T j o n e s
fechas	f e tS a s
podía	p o D i+ a
autobús	aU t o b u+ s
intente	i n t e n t e
gán	G a+ ng
especifica	e s p e s i f i k a
normas	n o rf m a s
uso	u s o
desplaz	d e s p l a s
muelle	m w e L e
acelerado	a T e l e rf a o
impacto	i m p a k t o
cierra	s j e r a
ventan	b e n t a n
ést	e+ s t
ate	a t e
confirmar	k o ng f i rf m a rf
envío	e ng V i+ o
ochenta	o tS e n t a
encuesta	e ng k w e s t a
realizó	r e a l i T o+
reserva	r e s e rf b a
previa	p rf e b j a
historias	i s t o rf j a s
personajes	p e rf s o n a x e s
aviones	a b j o n e s
helicópteros	e l i k o+ p t e rf o s
clases	k l a s e s
tomamos	t o m a m o s
champán	tS a m p a+ ng
notici	n o t i T i
invito	i m V i t o
vel	b e l
comen	k o m e n
zando	s a n d o
jardines	x a rf D i n e s
desperdicio	d e s p e rf D i s j o
consul	k o ng s u l
dije	d i x e
gustaba	G u s t a b a
nadar	n a D a rf
lenta	l e n t a
activa	a k t i b a
viaje	b j a x e
termina	t e rf m i n a
tantos	t a n t o s
objetos	o x e t o s
expuestos	e k s p w e s t o s
tocar	t o k a rf
destinada	d e s t i n a D a
hijos	i x o s
varones	b a rf o n e s
esperamos	e s p e rf a m o s
nuevamente	n w e b a m e n t e
dé	d e+
enviará	e m V j a rf a+
invita	i m V i t a
riesgo	r j e z G o
estamos	e s t a m o s
bordo	b o rf D o
repu	r e p u
contagi	k o n t a x i
fallecido	f a L e s i D o
referencia	r e f e rf e n T j a
completa	k o m p l e t a
puntual	p u n t w a l
rápido	r a+ p i D o
contamin	k o n t a m i n
roba	r o b a
