<UNK> sil
shuo1 sh uo1
shuo2 sh uo2
shuo3 sh uo3
shuo4 sh uo4
shuo5 sh uo5
si1 s iy1
si2 s iy2
si3 s iy3
si4 s iy4
si5 s iy5
song1 s ong1
song2 s ong2
song3 s ong3
song4 s ong4
song5 s ong5
sou1 s ou1
sou2 s ou2
sou3 s ou3
sou4 s ou4
sou5 s ou5
su1 s u1
su2 s u2
su3 s u3
su4 s u4
su5 s u5
suan1 s uan1
suan2 s uan2
suan3 s uan3
suan4 s uan4
suan5 s uan5
sui1 s ui1
sui2 s ui2
sui3 s ui3
sui4 s ui4
sui5 s ui5
sun1 s un1
sun2 s un2
sun3 s un3
sun4 s un4
sun5 s un5
suo1 s uo1
suo2 s uo2
suo3 s uo3
suo4 s uo4
suo5 s uo5
ta1 t a1
ta2 t a2
ta3 t a3
ta4 t a4
ta5 t a5
tai1 t ai1
tai2 t ai2
tai3 t ai3
tai4 t ai4
tai5 t ai5
tan1 t an1
tan2 t an2
tan3 t an3
tan4 t an4
tan5 t an5
tang1 t ang1
tang2 t ang2
tang3 t ang3
tang4 t ang4
tang5 t ang5
tao1 t ao1
tao2 t ao2
tao3 t ao3
tao4 t ao4
tao5 t ao5
te1 t e1
te2 t e2
te3 t e3
te4 t e4
te5 t e5
teng1 t eng1
teng2 t eng2
teng3 t eng3
teng4 t eng4
teng5 t eng5
ti1 t i1
ti2 t i2
ti3 t i3
ti4 t i4
ti5 t i5
tian1 t ian1
tian2 t ian2
tian3 t ian3
tian4 t ian4
tian5 t ian5
tiao1 t iao1
tiao2 t iao2
tiao3 t iao3
tiao4 t iao4
tiao5 t iao5
tie1 t ie1
tie2 t ie2
tie3 t ie3
tie4 t ie4
tie5 t ie5
ting1 t ing1
ting2 t ing2
ting3 t ing3
ting4 t ing4
ting5 t ing5
tong1 t ong1
tong2 t ong2
tong3 t ong3
tong4 t ong4
tong5 t ong5
tou1 t ou1
tou2 t ou2
tou3 t ou3
tou4 t ou4
tou5 t ou5
tu1 t u1
tu2 t u2
tu3 t u3
tu4 t u4
tu5 t u5
tuan1 t uan1
tuan2 t uan2
tuan3 t uan3
tuan4 t uan4
tuan5 t uan5
tui1 t ui1
tui2 t ui2
tui3 t ui3
tui4 t ui4
tui5 t ui5
tun1 t un1
tun2 t un2
tun3 t un3
tun4 t un4
tun5 t un5
tuo1 t uo1
tuo2 t uo2
tuo3 t uo3
tuo4 t uo4
tuo5 t uo5
u1 uu u1
u2 uu u2
u3 uu u3
u4 uu u4
u5 uu u5
wa1 uu ua1
wa2 uu ua2
wa3 uu ua3
wa4 uu ua4
wa5 uu ua5
wai1 uu uai1
wai2 uu uai2
wai3 uu uai3
wai4 uu uai4
wai5 uu uai5
wan1 uu uan1
wan2 uu uan2
wan3 uu uan3
wan4 uu uan4
wan5 uu uan5
wang1 uu uang1
wang2 uu uang2
wang3 uu uang3
wang4 uu uang4
wang5 uu uang5
wei1 uu ui1
wei2 uu ui2
wei3 uu ui3
wei4 uu ui4
wei5 uu ui5
wen1 uu un1
wen2 uu un2
wen3 uu un3
wen4 uu un4
wen5 uu un5
weng1 uu ueng1
weng2 uu ueng2
weng3 uu ueng3
weng4 uu ueng4
weng5 uu ueng5
wo1 uu uo1
wo2 uu uo2
wo3 uu uo3
wo4 uu uo4
wo5 uu uo5
wu1 uu u1
wu2 uu u2
wu3 uu u3
wu4 uu u4
wu5 uu u5
xi1 x i1
xi2 x i2
xi3 x i3
xi4 x i4
xi5 x i5
xia1 x ia1
xia2 x ia2
xia3 x ia3
xia4 x ia4
xia5 x ia5
xian1 x ian1
xian2 x ian2
xian3 x ian3
xian4 x ian4
xian5 x ian5
xiang1 x iang1
xiang2 x iang2
xiang3 x iang3
xiang4 x iang4
xiang5 x iang5
xiao1 x iao1
xiao2 x iao2
xiao3 x iao3
xiao4 x iao4
xiao5 x iao5
xie1 x ie1
xie2 x ie2
xie3 x ie3
xie4 x ie4
xie5 x ie5
xin1 x in1
xin2 x in2
xin3 x in3
xin4 x in4
xin5 x in5
xing1 x ing1
xing2 x ing2
xing3 x ing3
xing4 x ing4
xing5 x ing5
xiong1 x iong1
xiong2 x iong2
xiong3 x iong3
xiong4 x iong4
xiong5 x iong5
xiu1 x iu1
xiu2 x iu2
xiu3 x iu3
xiu4 x iu4
xiu5 x iu5
xu1 x v1
xu2 x v2
xu3 x v3
xu4 x v4
xu5 x v5
xuan1 x van1
xuan2 x van2
xuan3 x van3
xuan4 x van4
xuan5 x van5
xue1 x ve1
xue2 x ve2
xue3 x ve3
xue4 x ve4
xue5 x ve5
xun1 x vn1
xun2 x vn2
xun3 x vn3
xun4 x vn4
xun5 x vn5
xv1 x v1
xv2 x v2
xv3 x v3
xv4 x v4
xv5 x v5
xvan1 x van1
xvan2 x van2
xvan3 x van3
xvan4 x van4
xvan5 x van5
xve1 x ve1
xve2 x ve2
xve3 x ve3
xve4 x ve4
xve5 x ve5
xvn1 x vn1
xvn2 x vn2
xvn3 x vn3
xvn4 x vn4
xvn5 x vn5
ya1 ii ia1
ya2 ii ia2
ya3 ii ia3
ya4 ii ia4
ya5 ii ia5
yan1 ii ian1
yan2 ii ian2
yan3 ii ian3
yan4 ii ian4
yan5 ii ian5
yang1 ii iang1
yang2 ii iang2
yang3 ii iang3
yang4 ii iang4
yang5 ii iang5
yao1 ii iao1
yao2 ii iao2
yao3 ii iao3
yao4 ii iao4
yao5 ii iao5
ye1 ii ie1
ye2 ii ie2
ye3 ii ie3
ye4 ii ie4
ye5 ii ie5
yi1 ii i1
yi2 ii i2
yi3 ii i3
yi4 ii i4
yi5 ii i5
yin1 ii in1
yin2 ii in2
yin3 ii in3
yin4 ii in4
yin5 ii in5
ying1 ii ing1
ying2 ii ing2
ying3 ii ing3
ying4 ii ing4
ying5 ii ing5
yo1 ii iu1
yo2 ii iu2
yo3 ii iu3
yo4 ii iu4
yo5 ii iu5
yong1 ii iong1
yong2 ii iong2
yong3 ii iong3
yong4 ii iong4
yong5 ii iong5
you1 ii iu1
you2 ii iu2
you3 ii iu3
you4 ii iu4
you5 ii iu5
yu1 vv v1
yu2 vv v2
yu3 vv v3
yu4 vv v4
yu5 vv v5
yuan1 vv van1
yuan2 vv van2
yuan3 vv van3
yuan4 vv van4
yuan5 vv van5
yue1 vv ve1
yue2 vv ve2
yue3 vv ve3
yue4 vv ve4
yue5 vv ve5
yun1 vv vn1
yun2 vv vn2
yun3 vv vn3
yun4 vv vn4
yun5 vv vn5
yv1 vv v1
yv2 vv v2
yv3 vv v3
yv4 vv v4
yv5 vv v5
yvan1 vv van1
yvan2 vv van2
yvan3 vv van3
yvan4 vv van4
yvan5 vv van5
yve1 vv ve1
yve2 vv ve2
yve3 vv ve3
yve4 vv ve4
yve5 vv ve5
yvn1 vv vn1
yvn2 vv vn2
yvn3 vv vn3
yvn4 vv vn4
yvn5 vv vn5
za1 z a1
za2 z a2
za3 z a3
za4 z a4
za5 z a5
zai1 z ai1
zai2 z ai2
zai3 z ai3
zai4 z ai4
zai5 z ai5
zan1 z an1
zan2 z an2
zan3 z an3
zan4 z an4
zan5 z an5
zang1 z ang1
zang2 z ang2
zang3 z ang3
zang4 z ang4
zang5 z ang5
zao1 z ao1
zao2 z ao2
zao3 z ao3
zao4 z ao4
zao5 z ao5
ze1 z e1
ze2 z e2
ze3 z e3
ze4 z e4
ze5 z e5
zei1 z ei1
zei2 z ei2
zei3 z ei3
zei4 z ei4
zei5 z ei5
zen1 z en1
zen2 z en2
zen3 z en3
zen4 z en4
zen5 z en5
zeng1 z eng1
zeng2 z eng2
zeng3 z eng3
zeng4 z eng4
zeng5 z eng5
zha1 zh a1
zha2 zh a2
zha3 zh a3
zha4 zh a4
zha5 zh a5
zhai1 zh ai1
zhai2 zh ai2
zhai3 zh ai3
zhai4 zh ai4
zhai5 zh ai5
zhan1 zh an1
zhan2 zh an2
zhan3 zh an3
zhan4 zh an4
zhan5 zh an5
zhang1 zh ang1
zhang2 zh ang2
zhang3 zh ang3
zhang4 zh ang4
zhang5 zh ang5
zhao1 zh ao1
zhao2 zh ao2
zhao3 zh ao3
zhao4 zh ao4
zhao5 zh ao5
zhe1 zh e1
zhe2 zh e2
zhe3 zh e3
zhe4 zh e4
zhe5 zh e5
zhei1 zh ei1
zhei2 zh ei2
zhei3 zh ei3
zhei4 zh ei4
zhei5 zh ei5
zhen1 zh en1
zhen2 zh en2
zhen3 zh en3
zhen4 zh en4
zhen5 zh en5
zheng1 zh eng1
zheng2 zh eng2
zheng3 zh eng3
zheng4 zh eng4
zheng5 zh eng5
zhi1 zh ix1
zhi2 zh ix2
zhi3 zh ix3
zhi4 zh ix4
zhi5 zh ix5
zhong1 zh ong1
zhong2 zh ong2
zhong3 zh ong3
zhong4 zh ong4
zhong5 zh ong5
zhou1 zh ou1
zhou2 zh ou2
zhou3 zh ou3
zhou4 zh ou4
zhou5 zh ou5
zhu1 zh u1
zhu2 zh u2
zhu3 zh u3
zhu4 zh u4
zhu5 zh u5
zhua1 zh ua1
zhua2 zh ua2
zhua3 zh ua3
zhua4 zh ua4
zhua5 zh ua5
zhuai1 zh uai1
zhuai2 zh uai2
zhuai3 zh uai3
zhuai4 zh uai4
zhuai5 zh uai5
zhuan1 zh uan1
zhuan2 zh uan2
zhuan3 zh uan3
zhuan4 zh uan4
zhuan5 zh uan5
zhuang1 zh uang1
zhuang2 zh uang2
zhuang3 zh uang3
zhuang4 zh uang4
zhuang5 zh uang5
zhui1 zh ui1
zhui2 zh ui2
zhui3 zh ui3
zhui4 zh ui4
zhui5 zh ui5
zhun1 zh un1
zhun2 zh un2
zhun3 zh un3
zhun4 zh un4
zhun5 zh un5
zhuo1 zh uo1
zhuo2 zh uo2
zhuo3 zh uo3
zhuo4 zh uo4
zhuo5 zh uo5
zi1 z iy1
zi2 z iy2
zi3 z iy3
zi4 z iy4
zi5 z iy5
zong1 z ong1
zong2 z ong2
zong3 z ong3
zong4 z ong4
zong5 z ong5
zou1 z ou1
zou2 z ou2
zou3 z ou3
zou4 z ou4
zou5 z ou5
zu1 z u1
zu2 z u2
zu3 z u3
zu4 z u4
zu5 z u5
zuan1 z uan1
zuan2 z uan2
zuan3 z uan3
zuan4 z uan4
zuan5 z uan5
zui1 z ui1
zui2 z ui2
zui3 z ui3
zui4 z ui4
zui5 z ui5
zun1 z un1
zun2 z un2
zun3 z un3
zun4 z un4
zun5 z un5
zuo1 z uo1
zuo2 z uo2
zuo3 z uo3
zuo4 z uo4
zuo5 z uo5
Ａ ee ei1
Ｂ b i4
Ｃ s iy4
Ｄ d i4
Ｅ ii i4
Ｆ aa ai2 f u4
Ｇ j i4
Ｈ aa ei2 ch iy4
Ｉ aa ai4
Ｊ zh ei4
Ｋ k ei4
Ｌ aa ai2 l e4
Ｍ aa ai2 m u4
Ｎ ee en1
Ｏ oo ou1
Ｐ p i4
Ｑ k iu4
Ｒ ai3
Ｓ ai2 s iy5
Ｔ t i4
Ｕ vv ou1
Ｖ uu ei1
Ｗ d a2 b u1 l iu1
Ｘ aa ai2 k e4 s iy4
Ｙ uu ai1
Ｚ z ei4
A ee ei1
B b i4
C s i4
D d i4
E ii i4
F aa ai2 f u4
G j i4
H aa ei2 ch iy4
I aa ai4
J zh ei4
K k ei4
L aa ai2 l e4
M aa ai2 m u4
N ee en1
O oo ou1
P p i4
Q k iu4
R ai3
S ai2 s iy5
T t i4
U vv ou1
V uu ei1
W d a2 b u1 l iu1
X aa ai2 k e4 s iy4
Y uu ai1
Z z ei4
a ee ei1
at aa ai4 t
ad ee ei1 d i1
add ee ei4 d
aiaij i1 ei1 aa ai4 j
aigiashu j ei4 sh iu4
aijrnshu ei1 aa ai4 r n sh iu4
aissusa ei1 s iu4 s ei4
androi ei4 n d r o1 i4
atm ei1 t i1 aa ai2 m
av ei4 v1
b b i1
biu b iu4
biner b i1 ai4 n r
byebye b ai4 b ai1
c s i1
cd s i1 d i1
cf s i1 aa ai2 f
cmcc s i1 aa ai2 m s i1 s i1
cmwap c ei1 m u3 uu an4 p u1
cmnet s i1 aa ai2 m u5 n ei4 t e5
cn s i1 ee en1
coach k ou1 ch
com k a4 m
cpu s i1 p i1 ii iu4
d d i4
ding d i1 n
diy d i1 ii ai2 uu uai1
dns d i1 aa ai4 ee en2 aa ai4 s i3
dvd d i1 v1 i1 d i1
e ii i4
english ii in1 g e5 l i3 sh ix5
ellay ai2 l ei1
email ii i1 m ei2 er3
emil aa ai2 m i1 l
ems ai2 m u3 s i3
enter aa ai2 n t r
f aa ai2 f u5
friend f r uan4 d
g j i4
gogo g ou1 g ou1
gprs j i4 p i4 aa a4 aa ai2 s iy5
gps j i1 p i1 aa ai2 s
gsm j i1 aa ai2 s aa ai2 m
h ee ei2 ch ix5
htc ee ei1 ch t i1 s i1
i aa ai1
id aa ai1 d i1
ie aa ai1 ii i4
inter ii in1 t e5 er5
internet ii in1 t e5 n ei5 t
ios aa ai1 ou1 aa ai2 s
ip aa ai1 p i4
ipad aa ai1 p ai4 d e1
iphone aa ai1 f eng4
ipv aa ai1 p i1 uu ui1
j j ei4
jiush j ei1 sh u3
jolinr j ou1 l in2
jylly j i1 l i1
k k ei4
key k i4
kn k ai1 ai2 n
kng k ee ei1 aa ai2 n j i1
kob k a4 b ao4
ktv k ee ei1 t i1 uu i1
l aa ai2 aa ao3
lan l ei4 n
laugh l ai3 h u3
laussu l ao1 s iu4
let l ai2 zh e3
liang l iang2
logo l ou1 g ou1
lt ei1 er3 t i1
lte ei1 er3 t i1 i1
luchangyi l a4 ch ei4 n i1
lv ei2 v1
m aa ai2 m u5
maxinemaxine m ei4 k ai1 ai4 n m ei4 k e2 s i1 n
mklc ei2 m en1 k ai1 ei2 er3 s i1
mm m ei3 m ei2
mmsc aa ai2 m aa ai2 m aa ai2 s s i1
mmscn ai2 m eng1 ai2 m eng1 ai2 s i3 s i1 ai2 en1
mobile m v3 b i3 er2
modem m ou1 d ei4 m
modern m a4 d r n
mobilemarket m ou1 b ai1 m a1 k i3 t
mp aa ai2 m p i1
n ee en1
net n ei4 t
no n ou1
note n ou1 t
notetwo n ei4 t t uu ou1
o oo ou1
office aa ao1 f ei4 s
ok oo ou1 k ee ei1
or oo ou1 r
p p i4
pad p ai4 d
pc p i1 s i1
photoshop f ou1 t a4 sh a4 p
picc p i1 aa ai4 s i1 s i1
pim p i1 ai3 i4 ei4 m
platdhz p i1 l ai2 l ei1 t i1 d i1 h ei1 ch i1
png p i1 ei2 en2 j i1
pos p ao1 z
q k iu4
qq k iu1 k iu1
r aa a4
s aa ai2 s iy5
sd aa ai2 s d i1
shift sh i1 f u3 zh e3
silence sil
sim s i1 m
sinance s i1 n ei4 s i3
sky s g ai4 ai4
sp ei2 s i4 p i1
spbhj ai2 s i3 p i1 b i1 ei1 ch i3 j ie1
stlyw ai2 s i3 t i1 ai2 l ai4 d a4 b ei4 l i3 iu4
stp ai2 s i3 t i1 p i1
stune ai2 s i3 t iu4 n
svr ai2 s i3 uu ai1 er2
t t i1
td t i1 d i1
td t i1 d i4
tdscdma t i1 d i1 ai2 s i3 x i1 d i1 aa ai4 m e4 aa ai1
thank s ang3 k e4 s i3
tim t i1 ai3 i4 ei4 eng3
too t u1
tv t i1 v1
two t u4
tz t i1 z i1
u ii iu1
uc ii iu4 s i1
ufo vv ou1 ai4 f u3 o1
uu ii iu4 ii iu4
v uu ui1
voip uu ui1 oo ou1 aa ai1 p i4
vi v1 ai3
vip v1 ai3 p i1
visa uu ui1 s a5
vpmn uu ui1 p i4 aa ai2 m u5 ee en1
w d a2 b u5 l iu5
wan d a4 b u4 l iu4 ai1 en1
wap uu a4 p
wave uu ei1 uu u3
wc d a4 b u4 l iu4 s ei1
wifi uu uai1 f ai4
win uu in1
windows uu i1 n d ou1 z
wlan d a1 b l iu5 l an4
wps d a4 b u4 l iu4 p i1 ai2 s iy3
www d a4 b u4 l iu4 d a4 b u4 l iu4 d a4 b u4 l iu4
wx d a4 b u2 l iu4 ai2 k e1 s iy3
x aa ai2 k e5 s iy5
xh x i3 h e1
xiang x iang1
xingxing x ing2 x ing2
xzg ai2 k e1 s iy3 z i1 j i1
y uu uai1
yaraa i3 a4 r a4
ye uu ai1 vv i1
yinli i3 i1 n l i1
ymomo uu ai1 m ou1 m ou1
you vv ou4
ypm uu ai1 p i1 m en1
yuan vv uan2
yy uu ai1 uu ai1
z z i1
Bill b i4 oo ou5
Huang h uang2
app ee ei1 p i4 p i4
imdb aa ai1 aa ai2 m u4 d i4 b i4
american ee e1 m ai1 r ui4 k en5rr
hero h ei4 er5 r ou3
goddammit g ao4 d e5 d ai1 m ei1 t
bucket b a1 k ei4 t
list l i4 s t 
rob r ao4 b e5
reiner r uai1 n e5 er5
pixar p i1 k e5 s a4 er5
rio r ui4 oo ou3
humphrey h a1 m u1 f e2 r ui5
bogart b ou1 g a4 t
matrix m ai1 ch ui5 k s
alpha aa a1 er5 f a5
beta b ei1 t a5
gama g a1 m a5
sigma s ei1 g e5 m a5
FM aa ai2 f u4 aa ai2 m u4
hello h a1 l ou1
kitty k ei1 t i5
mma aa ai2 m u4 aa ai2 m u4  ee ei1
carving k a1 uu ing4
china ch ai1 n a5 
bronze b u5 r uang4 z iy5
ware uu ai4 ee er5
great g e3 r ui4 t
wall uu uo4
Principal p o5 r in1 s e5 p ou3
Scientist s ai4 ee en5 t i4 s t
Jakob zh ai1 k e5 b o5
Bernoulli b e1 er5 n iu1 ee ei1
mary m ai1 r ui4
i aa ai4
National n ai1 sh en1 n ou3
Aeronautics aa ai2 ee er2 n ao1 t i1 k s
and aa an4 d
Space s iy3 b ei4 s
Administration ee d e5 m i1 n ei1 s iy1 ch ui1 sh en1
NASA n a1 s a5
Frankfurt f u5 r uan4 k e5 f e1 er5 t
Book b u4 k
Fair f ai4 ee er5
Sayram s ai1 r ui5 m u5
Lake l ei4 k e5
Titicaca t i1 t i1 k a1 k a1
Rock r ao4 k
of oo ou3 f
the z e1
Puma p u1 m a3
Crag k e3 r uai4 g e5
Lead l i4 d e5
Saipan s ai3 p an4
Strait s iy3 zh ui4 t
Magellan m e5 zh ai1 l en5
Tropic ch ao1 p i3 k
Cancer k an1 s e5 r
Changbai ch ang2 b ai2
mountain m ang1 t eng4
pool p u4 uu uo3
in ii in4
sky s iy1 g ai4
hot h ao4 t
spring s iy1 p u3 r ing4
BBC b i4 b i4 s ei1 
Karst k a4 s t
AAAA s iy4 ee ei1
AAAAA uu u3 ee ei1
yes vv ie4 s
no n ou4
IY1 iy1
ong1 ong1
ng1 ee en1
ng2 ee en2
ng3 ee en3
ng4 ee en4
ng5 ee en5
rr rr
tei1 t ei1
